  Package                                   Version  Build               Channel                                                                    Size
  + r-crayon                                  1.4.1  r41hc72bb7e_0       conda-forge/noarch                                                       145 KB
  + r-curl                                    4.3.2  r41h28b5c78_0       conda-forge/osx-64                                                       780 KB
  + r-dbi                                     1.1.1  r41hc72bb7e_0       conda-forge/noarch                                                       678 KB
  + r-dbplyr                                  2.1.1  r41hc72bb7e_0       conda-forge/noarch                                                       826 KB
  + r-dplyr                                   1.0.7  r41h9951f98_0       conda-forge/osx-64                                                         1 MB
  + r-ellipsis                                0.3.2  r41h28b5c78_0       conda-forge/osx-64                                                        40 KB
  + r-fansi                                   0.5.0  r41h28b5c78_0       conda-forge/osx-64                                                       209 KB
  + r-fastmap                                 1.1.0  r41h9951f98_0       conda-forge/osx-64                                                        68 KB
  + r-filelock                                1.0.2  r41h28b5c78_1002    conda-forge/osx-64                                                        28 KB
  + r-generics                                0.1.0  r41hc72bb7e_0       conda-forge/noarch                                                        83 KB
  + r-glue                                    1.4.2  r41h28b5c78_0       conda-forge/osx-64                                                       140 KB
  + r-httr                                    1.4.2  r41hc72bb7e_0       conda-forge/noarch                                                       496 KB
  + r-hwriter                                 1.3.2  r41hc72bb7e_1003    conda-forge/noarch                                                       173 KB
  + r-jsonlite                                1.7.2  r41h28b5c78_0       conda-forge/osx-64                                                       458 KB
  + r-lattice                               0.20_44  r41h28b5c78_0       conda-forge/osx-64                                                         1 MB
  + r-lifecycle                               1.0.0  r41hc72bb7e_0       conda-forge/noarch                                                        97 KB
  + r-locfit                                1.5_9.4  r41h28b5c78_1       conda-forge/osx-64                                                       576 KB
  + r-magrittr                                2.0.1  r41h28b5c78_1       conda-forge/osx-64                                                       209 KB
  + r-matrix                                  1.3_4  r41hc2c5f09_0       conda-forge/osx-64                                                         4 MB
  + r-matrixstats                            0.60.1  r41h28b5c78_0       conda-forge/osx-64                                                       463 KB
  + r-memoise                                 2.0.0  r41hc72bb7e_0       conda-forge/noarch                                                        56 KB
  + r-mime                                     0.11  r41h28b5c78_0       conda-forge/osx-64                                                        50 KB
  + r-openssl                                 1.4.5  r41hd95e000_0       conda-forge/osx-64                                                         1 MB
  + r-pillar                                  1.6.2  r41hc72bb7e_0       conda-forge/noarch                                                      1017 KB
  + r-pkgconfig                               2.0.3  r41hc72bb7e_1       conda-forge/noarch                                                        25 KB
  + r-plogr                                   0.2.0  r41hc72bb7e_1003    conda-forge/noarch                                                        20 KB
  + r-png                                     0.1_7  r41h28b5c78_1004    conda-forge/osx-64                                                        57 KB
  + r-purrr                                   0.3.4  r41h28b5c78_1       conda-forge/osx-64                                                       408 KB
  + r-r6                                      2.5.1  r41hc72bb7e_0       conda-forge/noarch                                                        89 KB
  + r-rappdirs                                0.3.3  r41h28b5c78_0       conda-forge/osx-64                                                        49 KB
  + r-rcpp                                    1.0.7  r41h9951f98_0       conda-forge/osx-64                                                         2 MB
  + r-rcurl                                1.98_1.4  r41h28b5c78_0       conda-forge/osx-64                                                         1 MB
  + r-rlang                                  0.4.11  r41h28b5c78_0       conda-forge/osx-64                                                         1 MB
  + r-rsqlite                                 2.2.5  r41h9951f98_0       conda-forge/osx-64                                                         1 MB
  + r-sparsem                                  1.81  r41h749f5a1_0       conda-forge/osx-64                                                         1 MB
  + r-sys                                       3.4  r41h28b5c78_0       conda-forge/osx-64                                                        46 KB
  + r-tibble                                  3.1.4  r41h28b5c78_0       conda-forge/osx-64                                                       762 KB
  + r-tidyselect                              1.1.1  r41hbe3e9c8_0       conda-forge/osx-64                                                       195 KB
  + r-utf8                                    1.2.2  r41h28b5c78_0       conda-forge/osx-64                                                       157 KB
  + r-vctrs                                   0.3.8  r41h28b5c78_1       conda-forge/osx-64                                                         1 MB
  + r-withr                                   2.4.2  r41hc72bb7e_0       conda-forge/noarch                                                       220 KB
  + r-xml                                  3.99_0.7  r41h28b5c78_0       conda-forge/osx-64                                                         2 MB
  + r-xtable                                  1.8_4  r41hc72bb7e_3       conda-forge/noarch                                                       699 KB
