  Package                                   Version  Build               Channel                                                                   Size
  + r-codetools                              0.2_18  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-colorspace                              2.0_2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-commonmark                                1.7  r41h28b5c78_1002    conda-forge/osx-64                                                      Cached
  + r-config                                  0.3.1  r41hc72bb7e_0       conda-forge/noarch                                                       95 KB
  + r-corpcor                                 1.6.9  r41hc72bb7e_1003    conda-forge/noarch                                                      Cached
  + r-covr                                    3.5.1  r41h9951f98_0       conda-forge/osx-64                                                      300 KB
  + r-cowplot                                 1.1.1  r41hc72bb7e_0       conda-forge/noarch                                                        1 MB
  + r-cpp11                                   0.3.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-crayon                                  1.4.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-credentials                             1.3.1  r41hc72bb7e_0       conda-forge/noarch                                                      183 KB
  + r-crosstalk                               1.1.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-curl                                    4.3.2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-data.table                             1.14.0  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-dbi                                     1.1.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-desc                                    1.3.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-devtools                                2.4.2  r41hc72bb7e_0       conda-forge/noarch                                                      399 KB
  + r-diffobj                                 0.3.4  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-digest                                 0.6.27  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-dockerfiler                             0.1.4  r41hc72bb7e_0       conda-forge/noarch                                                       98 KB
  + r-downloader                                0.4  r41hc72bb7e_1003    conda-forge/noarch                                                       34 KB
  + r-dplyr                                   1.0.7  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-dt                                       0.19  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-e1071                                   1.7_8  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-easypubmed                               2.13  r41hc72bb7e_0       conda-forge/noarch                                                      725 KB
  + r-ellipse                                 0.4.2  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-ellipsis                                0.3.2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-evaluate                                 0.14  r41hc72bb7e_2       conda-forge/noarch                                                      Cached
  + r-fansi                                   0.5.0  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-farver                                  2.1.0  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-fastmap                                 1.1.0  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-fastmatch                               1.1_3  r41h28b5c78_0       conda-forge/osx-64                                                       45 KB
  + r-foreach                                 1.5.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-foreign                                0.8_81  r41h28b5c78_0       conda-forge/osx-64                                                      270 KB
  + r-formatr                                  1.11  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-fs                                      1.5.0  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-futile.logger                           1.4.3  r41hc72bb7e_1003    conda-forge/noarch                                                      Cached
  + r-futile.options                          1.0.1  r41hc72bb7e_1002    conda-forge/noarch                                                      Cached
  + r-future                                 1.22.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-future.apply                            1.8.1  r41hc72bb7e_0       conda-forge/noarch                                                      164 KB
  + r-gbrd                                   0.4_11  r41hc72bb7e_1002    conda-forge/noarch                                                      Cached
  + r-generics                                0.1.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-gert                                    1.3.2  r41h37a4156_1       conda-forge/osx-64                                                      192 KB
